http://www.stat.go.jp/data/shakai/2016/rank/index.html,,,,,,,,,,,,,,,,,,,
三重県,7.4,大分県,8.2,兵庫県,2.14,山口県,68.7,宮城県,11.1,新潟県,33.1,秋田県,6.7,新潟県,8.6,鹿児島県,5.55,徳島県,26.2
京都府,7.4,奈良県,8.1,島根県,2.13,秋田県,68.5,島根県,11,福井県,33.1,山口県,6.6,茨城県,8.5,山梨県,5.54,兵庫県,26
岡山県,7.4,広島県,8.1,石川県,2.12,佐賀県,68.5,山形県,10.9,沖縄県,33,島根県,6,静岡県,8.4,奈良県,5.53,広島県,25.6
山口県,7.4,栃木県,8,山梨県,2.12,愛媛県,67.8,長崎県,10.9,愛媛県,32.9,徳島県,5.8,京都府,8.4,大阪府,5.52,神奈川県,25.5
福岡県,7.39,岡山県,8,愛知県,2.12,島根県,67.6,福島県,10.7,岐阜県,32.4,大分県,5.7,奈良県,8.4,愛媛県,5.52,千葉県,25.2
静岡県,7.38,徳島県,8,奈良県,2.12,香川県,67.5,鳥取県,10.7,大分県,32.4,熊本県,5.6,千葉県,8.3,和歌山県,5.51,沖縄県,25.1
長崎県,7.38,新潟県,7.7,岩手県,2.11,和歌山県,67.4,群馬県,10.6,山形県,32.1,北海道,5.5,群馬県,8.2,高知県,5.51,愛知県,24.6
茨城県,7.37,福井県,7.4,宮城県,2.11,徳島県,66.8,山梨県,10.4,熊本県,31.7,長崎県,5.4,福岡県,8.2,茨城県,5.5,京都府,24.6
大阪府,7.36,高知県,7.3,長野県,2.11,鹿児島県,66.8,香川県,10.4,秋田県,31.5,青森県,5.1,秋田県,7.5,千葉県,5.48,新潟県,24.5
東京都,7.35,熊本県,7.2,岡山県,2.1,熊本県,66.6,鹿児島県,10.2,長崎県,31.5,宮崎県,5.1,栃木県,7.5,三重県,5.48,埼玉県,24.2
愛知県,7.35,鹿児島県,7,千葉県,2.08,宮崎県,65.9,愛媛県,9.9,佐賀県,31.3,和歌山県,4.9,山梨県,7.5,広島県,5.48,和歌山県,24.2
兵庫県,7.35,山梨県,6.8,京都府,2.08,岩手県,65.7,和歌山県,9.5,高知県,30.8,愛媛県,4.9,東京都,6.9,島根県,5.45,北海道,22.6
奈良県,7.35,富山県,6.7,神奈川県,2.03,長崎県,62.2,高知県,9.5,宮崎県,30.7,高知県,4.6,神奈川県,6.9,埼玉県,5.43,高知県,22.6
神奈川県,7.33,島根県,6.7,福井県,2.02,高知県,60.8,青森県,9.3,鹿児島県,30.5,鹿児島県,4.6,埼玉県,6.8,京都府,5.42,青森県,22.4
千葉県,7.32,沖縄県,6.6,滋賀県,2.02,青森県,59.4,岩手県,8.8,青森県,29.7,佐賀県,4.5,長野県,6.8,山口県,5.42,東京都,21.6
埼玉県,7.31,長野県,6.5,東京都,1.55,沖縄県,52.4,秋田県,7.3,和歌山県,29.5,沖縄県,2.7,福島県,6.5,東京都,5.39,大阪府,20.6
