year,開催県,実行委員,参加者,アウトドアセッション,演題数
2007,三重,加藤由花（産業技術大学院大），新井克也（NTT）， 北口善明（インテック・ネットコア），河口信夫（名古屋大），山口弘純（大阪大）， 宇田隆哉（東京工科大），児島史秀（情報通信研究機構）， 砂原秀樹（奈良先端科学技術大学院大），今野将（東北大），阿倍博信（三菱電機）， 藤野信次（富士通研究所），森信一郎（富士通研究所），中山裕子（富士通研究所）， 岸上順一（NTT），柏谷篤（日本電気），垂水浩幸（香川大），塚本昌彦（神戸大）,401,,272
2006,香川,加藤由花（産業技術大学院大），新井克也（NTT）， 北口善明（インテック・ネットコア），河口信夫（名古屋大），山口弘純（大阪大）， 宇田隆哉（東京工科大），児島史秀（情報通信研究機構）， 砂原秀樹（奈良先端科学技術大学院大），今野将（東北大），阿倍博信（三菱電機）， 藤野信次（富士通研究所），森信一郎（富士通研究所），中山裕子（富士通研究所）， 岸上順一（NTT），柏谷篤（日本電気），垂水浩幸（香川大），塚本昌彦（神戸大）,389,,245
2005,岩手,,491,,204
2004,長崎,,389,,179
2003,北海道,,318,,209
2002,静岡,,272,,143
2001,徳島,,346,,209
2000,石川,,250,,143
1999,和歌山,,226,,130
1998,鹿児島,,208,,131
1997,北海道,,167,,110
,,,162,,102
,,,145,,109
