2018,福井
2017,北海道
2016,三重
2015,岩手
2014,新潟
2013,北海道
2012,石川
2011,京都
2010,岐阜
2009,大分
2008,北海道
2007,三重
2006,香川
2005,岩手
2004,長崎
2003,北海道
2002,静岡
2001,徳島
2000,石川
1999,和歌山
1998,鹿児島
1997,北海道
