熊本,11500,11,6,5
熊本,9000,5,3,2
熊本,10000,8,6,2
大分,20000,10,9,1
佐賀,15000,12,11,1
熊本,16000,9,8,1
宮崎,19000,8,7,1
熊本,12000,6,5,1
